Word,Frequency,Percentage,Cumulative Percentage
mix,7,30.434782608695656,30.434782608695656
shorthair,4,17.391304347826086,47.82608695652174
retriever,2,8.695652173913043,56.52173913043478
domestic,1,4.3478260869565215,60.869565217391305
labrador,1,4.3478260869565215,65.21739130434783
pit,1,4.3478260869565215,69.56521739130434
bull,1,4.3478260869565215,73.91304347826086
chihuahua,1,4.3478260869565215,78.26086956521738
german,1,4.3478260869565215,82.60869565217389
shepherd,1,4.3478260869565215,86.95652173913041
